"accident_year","dev","loss_train","loss_test","delta","premium","deltaf","cal"
1988,1,0.508641573388741,NA,0,1,"os",1988
1988,1,0.0915192891408217,NA,1,1,"paid",1988
1988,2,0.394706856765323,NA,0,1,"os",1989
1988,2,0.21810277966621,NA,1,1,"paid",1989
1988,3,0.309363539741662,NA,0,1,"os",1990
1988,3,0.318833363654643,NA,1,1,"paid",1990
1988,4,0.23884255579919,NA,0,1,"os",1991
1988,4,0.386338175167804,NA,1,1,"paid",1991
1988,5,0.163773375336327,NA,0,1,"os",1992
1988,5,0.432279747599031,NA,1,1,"paid",1992
1988,6,0.125788753028141,NA,0,1,"os",1993
1988,6,0.460066834550973,NA,1,1,"paid",1993
1988,7,0.0919693212175761,NA,0,1,"os",1994
1988,7,0.47667014563804,NA,1,1,"paid",1994
1988,8,0.0623821059586162,NA,0,1,"os",1995
1988,8,0.484722847266773,NA,1,1,"paid",1995
1988,9,0.0159043250955121,NA,0,1,"os",1996
1988,9,0.496107701293603,NA,1,1,"paid",1996
1988,10,0.0126583490525389,NA,0,1,"os",1997
1988,10,0.497323745415897,NA,1,1,"paid",1997
1989,1,0.518446527571646,NA,0,0.851068108045999,"os",1989
1989,1,0.0757681664544175,NA,1,0.851068108045999,"paid",1989
1989,2,0.356080699368998,NA,0,0.851068108045999,"os",1990
1989,2,0.186447331884294,NA,1,0.851068108045999,"paid",1990
1989,3,0.258299261755891,NA,0,0.851068108045999,"os",1991
1989,3,0.283635110162107,NA,1,0.851068108045999,"paid",1991
1989,4,0.191646638643393,NA,0,0.851068108045999,"os",1992
1989,4,0.352518743357239,NA,1,0.851068108045999,"paid",1992
1989,5,0.137106581000986,NA,0,0.851068108045999,"os",1993
1989,5,0.39234179457472,NA,1,0.851068108045999,"paid",1993
1989,6,0.0974654576443215,NA,0,0.851068108045999,"os",1994
1989,6,0.414623169949347,NA,1,0.851068108045999,"paid",1994
1989,7,0.0638854045979873,NA,0,0.851068108045999,"os",1995
1989,7,0.428076256499133,NA,1,0.851068108045999,"paid",1995
1989,8,0.0246560127158,NA,0,0.851068108045999,"os",1996
1989,8,0.439221731761732,NA,1,0.851068108045999,"paid",1996
1989,9,0.0198301368289016,NA,0,0.851068108045999,"os",1997
1989,9,0.442649635665521,NA,1,0.851068108045999,"paid",1997
1989,10,NA,0.0160766778057585,0,0.851068108045999,"os",1998
1989,10,NA,0.445081723910108,1,0.851068108045999,"paid",1998
1990,1,0.528653638078459,NA,0,0.823041642329826,"os",1990
1990,1,0.0837251165774582,NA,1,0.823041642329826,"paid",1990
1990,2,0.356396679337783,NA,0,0.823041642329826,"os",1991
1990,2,0.232695309133736,NA,1,0.823041642329826,"paid",1991
1990,3,0.265806179802177,NA,0,0.823041642329826,"os",1992
1990,3,0.339017781054607,NA,1,0.823041642329826,"paid",1992
1990,4,0.172256958740676,NA,0,0.823041642329826,"os",1993
1990,4,0.415676436511964,NA,1,0.823041642329826,"paid",1993
1990,5,0.109319494049044,NA,0,0.823041642329826,"os",1994
1990,5,0.460153010906097,NA,1,0.823041642329826,"paid",1994
1990,6,0.064306711223034,NA,0,0.823041642329826,"os",1995
1990,6,0.487346438522746,NA,1,0.823041642329826,"paid",1995
1990,7,0.0410007947374972,NA,0,0.823041642329826,"os",1996
1990,7,0.506324386950985,NA,1,0.823041642329826,"paid",1996
1990,8,0.0288690789662667,NA,0,0.823041642329826,"os",1997
1990,8,0.516636824114059,NA,1,0.823041642329826,"paid",1997
1990,9,NA,0.0210078803489185,0,0.823041642329826,"os",1998
1990,9,NA,0.521271196989573,1,0.823041642329826,"paid",1998
1990,10,NA,0.0144680525101257,0,0.823041642329826,"os",1999
1990,10,NA,0.525264034776947,1,0.823041642329826,"paid",1999
1991,1,0.580416902055785,NA,0,0.951185882398001,"os",1991
